Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF 10V","C_0603_1608Metric",106.000000,-102.800000,0.000000,top
"C2","100nF 10V","C_0603_1608Metric",113.500000,-102.800000,0.000000,top
"C3","100nF 10V","C_0603_1608Metric",120.500000,-102.800000,0.000000,top
"C4","100nF 10V","C_0603_1608Metric",127.500000,-102.800000,0.000000,top
"C5","100nF 10V","C_0603_1608Metric",134.500000,-102.800000,0.000000,top
"C6","100nF 10V","C_0603_1608Metric",141.500000,-102.800000,0.000000,top
"D1","WS2812B-2020-V6","LED_WS2812B-2020_PLCC4_2.0x2.0mm",116.000000,-107.000000,0.000000,top
"D2","WS2812B-2020-V6","LED_WS2812B-2020_PLCC4_2.0x2.0mm",123.000000,-107.000000,0.000000,top
"D3","WS2812B-2020-V6","LED_WS2812B-2020_PLCC4_2.0x2.0mm",130.000000,-107.000000,0.000000,top
"D4","WS2812B-2020-V6","LED_WS2812B-2020_PLCC4_2.0x2.0mm",137.000000,-107.000000,0.000000,top
"D5","WS2812B-2020-V6","LED_WS2812B-2020_PLCC4_2.0x2.0mm",144.000000,-107.000000,0.000000,top
"R1","330R","R_0603_1608Metric",106.500000,-109.540000,0.000000,top
